id,content,label
11,#武汉交警微视角#发布了头条文章：《武汉交警再次发布清明节出行提示》预计清明小长假首日交通压力最大，建议市民尽量乘坐公共交通，错峰祭扫。祝大家出行平安！@湖北公安@湖北交警@平安武汉@新浪湖北@武汉同城@武汉身边事|武汉交警再...,0
12,#王者荣耀日开8000万场#据国内媒体报道，王者荣耀现今日活跃用户5000万，每天开局8000万场，其中小学生玩家占据“王者荣耀”用户57%以上。今天上午一直和媒体的朋友们在群里讨论游戏防沉迷和对教育的影响，当然，许多人口诛笔伐的就是农药。但我以为，其实没有农药，也有西药、中药和闹药，游戏世界...,0
13,【河北邢台一男子酒店电梯井坠亡，县委县政府成立调查小组】澎湃新闻的...针对网传的“河北邢台一男子酒店电梯井坠亡”事件，4月16日，河北邢台威县县委宣传部官方微博@威县发布发布情况通报称，4月13日晚，一平乡客人发生电梯坠亡事故，威县县委和县政府已经成立调查小组，将尽快调查清楚事件...,0
14,急找孩子寻人启事13759695559帮忙扩散，今天上午一个三岁多小女孩在沃尔玛附近被人拐走了，小女孩能说出她爸爸的手机号码从监控上看是被一个四十多岁男人抱走了现大人都急疯了有知情者请告之万分感谢看到信息的兄弟姐妹留意一下联系人张静杰13759,1
15,幼儿园都发通知了家长们注意啦：现在得白血病的小孩越来越多，妇幼保健院提示您，请不要给宝宝喝爽歪歪和有添加剂的牛奶饮料，告诉家里有小孩的朋友，旺仔牛奶、可口可乐、爽歪歪、娃哈哈AD钙奶、未来星、QQ星、美汁源果粒奶优菠萝味的。都含有肉毒杆菌。,1
16,#今日看盘##乐视网sz300104[股票]##格力电器sz000651[股票]##老板电器sz002508[股票]#行情看着红，其实不好做，不知道做什么板块，一日游个股很多，冲高回落的也多，好在跌停才1个...,0
17,四川省泸州市泸县太伏镇一名在校生被5名同学活活打死～天理难容呀～就因为没有给一万块钱的保护费～学校哈快来围观小方的小影作品&gt;L#小影微视频#（通过#小影#创作）,1
18,【村民找到失踪女童被埋马路下身上压着一大块混凝土】8月13日，安徽蚌埠失踪了2天的女孩被找到，发现时已无生命迹象↓↓寻找孩子的村民察觉脚下马路有些松动，用手挖了挖才发现，女孩居然被埋在马路中，被挖出来时身上还压着一大块混凝土↓↓|女童被埋施...,0
19,#华晨宇东方卫视天籁之战#今天去现场看天籁录制了，今天大哥感觉好疲惫啊#(泪)第一次离大哥这么近，看不清楚脸，就看见大哥好瘦好瘦啊，腿好细好细，今天现场都没看见好多火星人，好难过明天会不会有很多啊！大哥明天要唱的歌曲你们会很期待的所有信息&gt;&gt;&gt;,0
20,请告诉您的孩子：在外面，找不到爸爸妈妈的时候，不要慌乱，去坐任意一辆公交车，告诉司机你找不到家人了，公交司机会联系你的家人的。7月1日起，全国公交正式成为中国失联儿童安全守护车！公交驾驶员就是失散儿童守护人！只要孩子上了公交车司机知道是失散儿童都会帮忙找其家人，大爱绽放～请接力,1
21,邵逸夫先生出殡了，一个外国人乔布斯去世的时候，我们铺天卷地刷屏，而邵逸夫去世了，却没有看见有人悼念，有千百个教学楼叫做“逸夫楼”，多少医院有“逸夫门诊楼＂，这位老人一生捐赠了数以千百亿计的医疗设施和教育设施，他真的比乔布斯伟大的多，一个真正做好事的人应该被记住，有群的请一起转吧！,1
22,@十三陵流浪宝贝家园:自2007年12月1日开始执行的卫生部《新资源食品管理办法》中猫狗属于界定中的第一项无食用习惯的动物猫狗拥有不被食用的合法身份只要用途为食用猫狗无论在运输还是屠宰过程都是违法的拦截后可要求价值的10倍赔偿新资源食品管理办法全文链接：,1
23,发表了博文《老虎不信佛，吃不惯素斋》北京八达岭野生动物园内，两名自驾游女游客23日在猛兽区下车后，被老虎袭击，造成1死1伤。这起动物伤人事件，会再次让人警觉动物园的安全问题。其实，公共安全一直都是社会|老虎不信佛...,0
24,有些人的劣根性真的是烂到骨子里了。唯一一条进城区的公路被洪水淹了，那些想去城区投靠亲戚的灾民，没路可走。于是就有人开始赚这种钱，开着挖掘机带人去城区，几公里的路，按人头每人200不论大人小孩。这种人你能说他不对？他没错，他只是和政府一样烂的没救了。君子爱财，取之有道。,0
25,幼儿园老师发的。紧急通知：家里有孩子的大人都看好了，江苏省来了1000多外地人专偷小孩抢小孩的苏州已丢20多个，已解剖7个拿走器官！今天学校也给家长开会呢，说凡是街上转悠，跟到家门口楼下就走了，面包车，收粮食的车，收旧家电的，人带黑口罩，穿黑裤子，有问路的千万别停下，不要理会。,1
26,【涂完花露水切勿接触明火！否则....】夏天来临，蚊子出没。花露水必不可少！不过，花露水属易燃品，一般花露水里面的乙醇浓度在70%—75%，最低也会达到30%以上；且燃点仅为24℃。所以，涂完花露水后如遇明火...将会发生闪燃现象！提醒大家：涂完花露水后，请远离火源！,1
27,",急找孩子，求转实验小学寻人启事13930886687帮忙扩散，今天上午一个三岁多小女孩在锦绣花园小区附近被人拐走了，小女孩能说出她爸爸的手机号码从监控上看是被一个四十多岁男人抱走了现大人都急疯了有知情者请告之万分感谢看到信息的兄弟姐妹留意一下联系人张静杰13930886687如果看一眼懒得转的冷漠的人也请你伸出手指按3秒看到就转转吧我们都会有孩子谢谢你11:56:04必有重谢10万元谁的群多大家帮忙转发一下！好人一生平安！大家都是有了孩子的人了，看到了不会不转的吧？2安康·安康音悦汇量贩KTV",1
28,寻人启事13940292999。有线索酬金10万帮忙扩散，今天上午一个三岁多小女孩在锦绣花园小区附近被人拐走了，小女孩能说出她爸爸的手机号码从监控上看是被一个四十多岁男人抱走了现大人都急疯了有知情者请告之万分感谢看到信息的兄弟姐妹留意一下联系人宁继春139402929992德星村南街,1
29,【后果严重！下月起，#这些人将限乘火车飞机#】国家发改委、民航局、铁路总公司等部门联合发布多个相关意见，规定自5月1日起，限制特定严重失信人乘坐火车、飞机。其中，在动车上吸烟的，180天内不得乘坐火车；冲击值机柜台、安检通道或登机口的，一年内限乘飞机。戳图了解↓↓扩散周知！,0
30,今天上午一个三岁多小女孩在锦绣花园小区附近被人拐走了，小女孩能说出她爸爸的手机号码从监控上看是被一个四十多岁男人抱走了现大人都急疯了有知情者请告之万分感谢看到信息的兄弟姐妹留意一下联系人宁继春139402929992郑州·郑州电子信息职业技术学院,1
31,【上海深圳房价涨幅跌回一年前中介部分门店关张】卖方市场一直强调;京沪永远涨;，然而现如今，沪深已连跌两个月了。据经济日报-中国经济网记者了解，今年8月开始出现房价同比下跌的城市，9月此类城市数量进一步增加到3个，分别是深圳、成都和上海。其中，深圳的同比增幅为-3.8%，在70城中排名末尾。作为本轮房价上升周期的领头羊，深圳的同比增幅率先由正转负，并且已经连续2月同比下跌，信号意义极强。|上海深圳房...,0
32,#武汉身边事#【因发生碰擦，宝马男持械打人砸公交】16日，武汉男子徐某驾驶一辆白色宝马车与公交车发生交通事故，宝马男质问公交车司机：“你跟我谈什么呀？”“你开飞机啊？”“没有红绿灯你就瞎开？”，并挥手打向公交车司机。紧接他返回车内，拿出一根器械，追打公交车司机。目前，警方以寻衅滋事将徐某某治安拘留。楚天都市报...,0
33,【网上快递停运时间表出炉？假的！多家快递表示春节不打烊】喜欢在网上买买买的你，是否准备赶在快递停运前大淘一次？网上已有快递停运时间表出炉？实为谣言！快递公司官网并未公示！而据《快递杂志》消息，包括EMS、顺丰、中通、申通、圆通、韵达、百世、德邦、京东物流、苏宁物流在内的这十家快递企业均表示，今年春节期间不打烊。|十家快递企...,0
34,【#云南西双版纳4.2级地震#】据中国地震台网正式测定，5月20日7时12分在云南西双版纳州景洪市发生4.2级地震，震源深度8千米，震中位于北纬21.92度，东经100.74度。如何第一时间科学避震？戳视频↓↓央视新闻的...,0
35,寻人启事15909951816。有结果线索酬金50万帮忙扩散，今天上午一个2多岁小男孩在吐鲁番阳光小区附近被人拐走了，小男孩能说出他的名字王鹤从监控上看是被一个四十多岁男人抱走了现大人都急疯了有知情者请告之万分感谢看到信息的兄弟姐妹留意一下联系人王耀武,1
36,"面对美国恫吓，中国压根儿不怵！绝对不躲！更不会退！特朗普急眼了!当地时间4月5日,这位美国总统表示,已指示贸易代表办公室考虑对从中国进口的额外1000亿美元商品加征关税是否合适。此言一出,美国市场最先受到惊吓,道琼斯和纳斯达克股指期货应声跳水。如果说之前500亿美元加税清单,还打着所谓保护知识产权、减少贸易逆差等借口,此次1000亿美元的加税要求,则干脆“啥也不说了”,完全以威胁、恫吓中国为目的,想以更粗的贸易大棒,逼迫中国作出让步,争取美国利益最大化。美国这一举动,进一步反映了其无视国际贸易规则的一贯做派。国际贸易本质上追求合作共赢,即使有分歧,也应通过平等对话、谈判协商解决。令人瞠目的是,美国作为曾经的国际贸易规则主要缔造者,如今却成了地地道道的“破坏者”。随意说个数字,动辄就要加征关税,这是哪家的贸易规则?完全就是一家独大、霸道无理的路数。美国这一举动,进一步暴露了其通过贸易战遏制中国发展的险恶用心。我可以随便制裁你,但不许你反制我,不然就要给你教训,美国现在的“脾气”,已经不是贸易冲突那么简单了。正如一些美国学者指出的,中美看上去是在贸易领域有分歧,背后则是中国崛起伤了美国“自尊心”。在贸易战面前,中国任何的忍让、退缩,都只会让美方变本加厉、得寸进尺,最终损害中国长远发展的根本利益。趁着还未真正交恶,拼命撂狠话、出大招,增加自己的谈判筹码,这是美国在国际问题上的惯用伎俩,但这一回,美国的如意算盘恐怕敲错了。中方早就有言在先,任何人不要幻想让中国吞下损害自身利益的苦果。面对美国恫吓,中国压根儿不怵。中美之间,和则两利、斗则俱伤,现在既然美国主动寻衅挑起贸易战,中国一定奉陪到底,也一定会让美国付出沉重代价,让美方一些无视国际规则、挑动中美是非的人接受教训。面对美国恫吓,中国绝对不躲。可以预见,不管是500亿美元清单,还是1000亿美元清单,抑或是将来更大的贸易制裁,中国承诺的同等力度、同等规模反制举措一定会如约而至,并继续依法将美方有关行径诉诸世贸组织争端解决机制。面对美国恫吓,中国更不会退。从“站起来”的那天起,中国就再没有屈服于外部压力,美国今日之行径,只能使中国人民更加奋发图强。在改革开放40周年的历史关口,美国一而再、再而三地干扰破坏,必将促使中国加快改革开放步伐,以更充沛的干劲、更高质量的发展回击美国遏制举动。“他们要打多久,我们就打多久,一直打到完全胜利。”美国来势汹汹、气焰嚣张,我们沉着应对、成竹在胸。今天的中国,比以往任何时候都更强大、更自信、更勇毅,谁要阻止中国的发展壮大,就是螳臂挡车、蚍蜉撼树,也终将付出惨痛代价!",0
37,"15m+12d五爷杭州出差,晚上视频,五爷说在外面走路也能视频,月光很亮,可儿子在那小视频框里却怎么也看不清爸爸,索性爬上桌,头凑近了看,还是看不真切,再凑近一点...那非把爸爸找出来的认真的小样把我们全家都乐坏了",0
38,【王宝强马蓉离婚案一审宣判】11日下午，王宝强诉马蓉离婚案、马蓉诉王宝强名誉权案分别在北京朝阳法院不公开开庭审理并当庭宣判。王宝强离婚案法院一审判决解除婚姻关系，从利于子女健康成长角度出发，判决婚生子由王宝强抚养，婚生女由马蓉抚养；一审判决驳回了马蓉的王宝强名誉侵权请求。,0
39,急找孩子，求转，求帮忙寻人启事13940292999。有线索酬金10万帮忙扩散，今天上午一个三岁多小女孩在锦绣花园小区附近被人拐走了，小女孩能说出她爸爸的手机号码从监控上看是被一个四十多...@百思不得姐应用,1
40,寻人启事13940292999。有线索酬金10万帮忙扩散，今天上午一个三岁多小女孩在锦绣花园小区附近被人拐走了，小女孩能说出她爸爸的手机号码从监控上看是被一个四十多岁男人抱走了现大人都急疯了有知情者请告之万分感谢看到信息的兄弟姐妹留意一下联系人宁继春13940292999,1
41,【监控视频：野生动物园老虎袭人致1死1伤】昨天下午，几名游客自驾进北京八达岭野生动物园，一女性中途下车，被身后一老虎拖走，随后同车两人追上去也被老虎攻击。事件造成1死1伤。据了解，当事游客签订过相关责任书，其中明确规定自驾入园要锁好车门窗，严禁下车。目前动物园暂停营业。现场监控：...,0
42,急找孩子，求转，求帮忙寻人启事13759695559帮忙扩散，2月4号上午一个三岁多小女孩在北京锦绣花园小区！！附近被人拐走了，小女孩能说出她爸爸的手机号码从监控上看是被一个四十多岁男人抱走了现大人都急疯了有知情者请告之万分感谢看到信息的兄弟姐妹留意一下联系人张静杰13759695559,1
43,妇幼保健院提示您，请不要给宝宝喝爽歪歪和有添加剂的牛奶饮料，告诉家里有小孩的朋友，刚看了新闻：旺仔牛奶。、可口可乐、爽歪歪。娃哈哈AD钙奶、多美滋、美汁源果粒奶优菠萝味的。都含有肉毒杆菌。现在紧急召回😱望家长朋友们爱孩子就别给他喝了！各位宝妈请一定注意!,1
44,发表了博文《中纪委是不是在下一盘很大的棋》-中纪委是不是在下一盘很大的棋近日，有媒体人爆出上海市金山区公安局长马淮海因贪腐20多亿并谋杀市人大代表，遭情妇举报的丑闻。据报料人称：马淮海包养了&#;中纪委是不是在下一盘很大的棋,1
45,#成都交通路况#10:26时，三环路：十陵立交至成渝立交内侧主道发生一起交通事故，导致该路段车辆通行缓慢，请途经此处的驾驶员注意避让。实时路况信息请关注导航地图，注意收听省市交通广播FM101.7、FM91.4。,0
46,#可以这样？！#李的76人律师团领队、法律大学副校长张爱国教授对媒体表示，李天一因第一个与被害女子发生性关系，不构成轮奸罪，只是以判罚较轻的强奸罪批捕，这是律师团所有成员共同努力的结果。可是，李之前与同伴有商议之后有围观，构成轮奸犯罪故意。就因为第一个，于是不成立？！,1
47,#天津高速路况#2018年1月21日13:39，因S6津沧高速驶往沧州方向车辆通行缓慢，S6津沧高速津静站禁止黄牌照货车驶入。@天津高速公路路况直播第一家！与您准时相约#路况直播室#！每天中午11点半，登录微博并关注@天津高速公路即可收看天津及周边高速公路路况直播！,0
48,帮忙扩散，今天上午一个三岁多小女孩在锦绣花园小区附近被人拐走了，小女孩能说出她爸爸的手机号码从监控上看是被一个四十多岁男人抱走了现大人都急疯了有知情者请告之万分感谢看到信息的兄弟姐妹留意一下联系人张静杰13759695559看到就转转吧我们都会有孩子谢谢你,1
49,#现场云#【熊孩子也不是这么个管法！孩子偷花7000元“熊爸”暴打;熊妈;拍摄】近日，一段视频在朋友圈里疯传，江苏泰兴一男子手持竹板，把孩子堵在床上，在4分14秒的时间里对孩子连打了100多下。目前，相关部门已着手调查。#熊孩子#新华社中国...,0
50,"请帮忙转发,披露中国的贪官:今天又两个中江县红十字会的人来我们这里购买了1万多元的救灾药品，但要求我们开5万多元的发票。我们（成都制药一厂）没有答应，结果由隔壁通化一家药厂经营部开给他们了。我可以留下我的真实身份：卢荣光，1996年10月12日出生，跪请多转发，消灭贪官，为民除害天理难容",1
51,【女游客遭桂林导游暴打导游：我叫你下不了车！】据网友爆料，一位姑娘桂林游玩时，因拒绝下车购物，遭导游恐吓：“我叫你滚下去！”“再照我把你手机砸了！叫你下不了车！”视频↓↓也有网友称，该旅游团为40元一日游，报团时已协议过要购物，当事人属违约↓↓你怎么看？|女游客遭桂...,0
52,【北京野生动物园老虎袭人致1死1伤】昨天下午，几名游客自驾进北京八达岭野生动物园，一女性中途下车，被身后一老虎拖走，随后同车两人追上去也被老虎攻击。事件造成1死1伤。目前动物园暂停营业。|(央视记者张伟泽),0
53,原来是真的，幼儿园都发通知了，家长们注意啦：现在得白血病的小孩越来越多，妇幼保健院提示您，请不要给宝宝喝爽歪歪和有添加剂的牛奶饮料，告诉家里有小孩的朋友，旺仔牛奶、可口可乐、爽歪歪、娃哈哈AD钙奶、未来星、QQ星、美汁源果粒奶优菠萝味的。都含有肉毒杆菌。现在紧急召回。有孩子的都转下！,1
54,#东京女留学生遇害案#看到这个视频真的很心痛，#江歌妈妈##对话刘鑫#只想知道真相，为人父母之心可以理解，心疼#江歌母亲请愿判凶手死刑#极品笑料王...,0
55,朋友捡到一个高考准考证，谁认识通知下，别耽误了高考大事。白娅倩考点一中考场013座号11准考证号204101311／请大家帮忙互相转发，别耽误了孩子高考！联系电话15935078941[拥抱][拥抱]见到的请帮忙转发，谢谢，，,1
56,🌻原来是真的，幼儿园都发通知:家长们注意啦：现在得白血病的小孩越来越多，妇幼保健院提示您，请不要给宝宝喝爽歪歪和有添加剂的牛奶饮料，告诉家里有小孩朋友，旺仔牛奶、可口可乐、爽歪歪、娃哈哈AD钙奶、未来星、QQ星、美汁源果粒奶优菠萝味。都含有肉毒杆菌。现在紧急召回。有没有孩子的都转吧,1
57,【孩子们，好样的】日本大阪机场，在日本参加夏令营的中国小学生席地安静地看书；广州白云机场，赴英国游学的小学生捧着书书席地而坐。注意，没有打闹，没有玩手机。[强][强][强]|抚顺·南站,0
58,发表了博文《请大家5月13号一定别看日本电影《贞子》》主题：请大家5月13号一定别看日本电影《贞子》大家一起为《贞子》票房为零，做努力！中国人拍的《金陵十三钗》在日本小鬼子票房为零。小日本拍的《贞子》&#;请大家5月13号一定别看日本电影《贞子》,1
59,北京民海的麻风是全部批次都有问题吗？！下个月的疫苗约的还是麻风，麻风厂家只有北京天坛跟北京民海，不敢去打了，接种过一针了还能去香港打四痘吗？|北京,0
60,"凯里银行行长灭门悬案现转机：18年后真凶浮现【凯里银行行长灭门悬案现转机：18年后真凶浮现】贵州一银行行长全家被杀害,18年未破大案的真凶,竟在一位科级干部的违纪调查中露出踪迹...详情&gt;&gt;|凯里银行行...（分享自@搜狐新闻客户端）",0
61,急找孩子，求转，求帮忙实验小学寻人启事13759695559帮忙扩散，今天上午一个三岁多小女孩在锦绣花园小区附近被人拐走了，小女孩能说出她爸爸的手机号码从监控上看是被一个四十多岁男人抱走了现大人都急疯了有知情者请告之万分感谢看到信息的兄弟姐妹留意一下2S28长济高速,1
62,【范冰冰李晨赌钱输千万？知情人否认：从未离开剧组】近日，有网友爆料#李晨##范冰冰#在拉斯维加斯某赌场一夜输了将近1200万美元。对此，有知情人发声澄清，对方表示范冰冰和李晨在美国时从未离开过剧组，而一夜输千万的传闻更是谣言，因为李晨根本不会赌博。,0
63,一女的横穿马路，脚踩在栏杆上想跨过去，没想到脚下一滑，把命丢了[撇嘴][撇嘴][撇嘴][撇嘴]大千世界，无奇不有……警告大家别乱横跨隔离带[流汗][流汗][流汗],1
64,急找孩子求转求帮忙寻人启事（景德镇）13759695559帮忙扩散今天上午一个三岁多小女孩在沃尔玛附近被人拐走了小女孩能说出她爸爸的手机号码从监控上看是被一个四十多岁男人抱走了现大人都急疯了有知情者请告之万分感谢看到信息的兄弟妹留意一下联系人张静杰13759695559指按3秒转转吧,1
65,#三门峡身边事#【10月1日起，全国银行正式成为中国失联儿童安全守护点！】请告诉您的孩子：在外面，找不到爸爸妈妈的时候，不要慌乱，去任意一家银行坐下，告诉工作人员你找不到家人了，工作人员会联系你的家人。银行就是失散儿童守护人！只要孩子进了银行，即便暂时与家长失去联系，孩子也不会被拐卖或出现意外！真要都接力起来能帮助多少走丢的孩子！一一一这个要转→_→,1
66,【北京野生动物园老虎袭击游客致1死1伤：女子中途下车遭老虎拖走】昨天下午，几名游客自驾进北京八达岭野生动物园，一女性中途下车，被身后老虎拖走，同车两人追上去也被老虎攻击。事件造成1死1伤。据了解，游客签订过相关责任书，明确规定自驾入园要锁好车门窗，严禁下车。目前动物园暂停营业。来自腾...,0
67,发表了博文《兰州警方回应大学生被打情况属实将严肃处理》大学生遭打受伤原标题：警方回应“和平派出所民警暴力执法，用警棍殴打大学生”针对5月17日网上反映我局“和平派出所民警暴力执法，用警棍殴打大|兰州警方回...,0
68,【“3亿用户隐私信息泄露”，顺丰回应“暗网所售非顺丰数据”】据媒体报道，近日，在“暗网交易市场”网站上，有暗网用户售卖顺丰快递数据。卖家称掌握顺丰快递客户数据总量高达3亿条，数据包括顺丰快递寄件人、收件人的姓名、地址、电话等个人信息。顺丰集团通过官方微博回应称，公司已第一时间报警，...,0
69,雅安总人口153万，三星苹果富士康三家共捐款加起来是1亿6000万，平均分给每个人是105万左右。现在还在缺物资，缺钱，各地方各组织各学校还在圈钱。钱去哪了我们不知道，真的不知道该说啥。再加上加多宝集团的一个亿。还有香港一个亿。我只想问。钱呢。给老百姓们的钱呢?,1
70,.急找孩子，求转，求帮忙寻人启事13759695559帮忙扩散，今天上午一个三岁多小女孩在锦绣花园小区附近被人拐走了，小女孩能说出她爸爸的手机号码从监控上看是被一个四十多岁男人抱走了现大人都急疯了有知情者请告之万分感谢看到信息的兄弟姐妹留意一下联系人张静杰13759695559,1
71,王者荣耀研发公司终于制定严防沉迷措施了，在怼天怼地怼王者荣耀之前我就对这个游戏有好多想说，直到现在也不知从何说起。不说小学生一个班里有多少人玩多久，就是身边的大学室友，除了上课就是打它，毫不关心社会热点，本是游戏放松，却成了很多人的主业，费时费力，到底怎么对待手游，中国的游戏发展...,0
72,万能的朋友圈急找孩子求转寻人启事13940292999有线索酬金10万帮忙扩散，今天上午一个三岁多小女孩在锦绣花园小区附近被人拐走了小女孩能说出她爸爸的手机号码从监控上看是被一个四十多岁男人抱走了现大人都急疯了有知情者请告之万分感谢看到信息的兄弟姐妹留意一下联系人宁继春13940292999,1
73,紧急通知大家千万不要购买樱桃：今年樱桃里寄生了一种蛆虫，几乎100%的樱桃里面都有。实验方法：找最好看最新鲜的樱桃，放透明玻璃杯中，倒进水去后放点盐，大约2分钟就会看到这些蛆虫从完好的表皮往外钻。求扩散！我在:2钢铁街,1
74,【快讯：四川九寨沟县附近发生6.5级左右地震】据@中国地震台网速报自动测定：8月8日21时19分在四川阿坝州九寨沟县附近（北纬33.20度，东经103.88度）发生6.5级左右地震，最终结果以正式速报为准。,0
75,【医生被指用手术机会多次性侵女子医院出面回应】近日，网友爆料医生余东利用手术机会性侵女客户，并导致手术失败毁容，在网上引起强大反响。该医院在微博上发表声明：医院高度重视，马上成立工作小组进行核实调查，至今未能联系到当事患者。目前该医生已报警。患者录音曝光↓↓|医生被指用...,0
76,各位朋友：中央电视台《焦点访谈》已经播出，务必把这条信息发给你的朋友圈，让众人所知。可口可乐承认旗下(果粒橙)含有美国禁用农药「多菌灵」，多菌灵可致脑麻痺、肝脏腫瘤等癌症。包括香港正在销售的（果粒橙），香港食环署正在了解此事件。,1
77,【贵州黔西南一天然气管道发生燃烧爆炸现场伤亡情况不明】据黔西南州消防部门提供的消息，今天上午10:44，在贵州省黔西南州晴隆县沙子镇小寨村，一天然气管道发生燃烧爆炸，目前已经发生了第二次爆炸，现场伤亡情况不明。晴隆县消防中队已经在现场进行救援。,0
78,[调皮]通知：5.12一定不去影院，大家一起为《贞子》票房为零，做努力！中国人拍的《金陵十三钗》在日本小鬼子票房为零。小日本拍的《贞子》3D将于5月12日在中国大陆上映。而5月12日既是南京大屠杀纪念日，又是国难日。勿忘国耻！作为中国人，敢不敢让贞子3D5月12日票房为零。,1
79,#中医与健康#小儿厌食当以调和脾胃为先，临床常用理脾汤治疗：苍术3克，陈皮3克，厚朴3克，神曲6克，焦山楂6克，炒麦芽6克，鸡内金6克，砂仁3克，甘草3克，水煎服，每日1剂，服3~5剂常可获效。,0
80,"最近出现骗子让单独带孩子的家长帮忙照相，当家长拿着相机拍照的时候就会出现眩晕。然后孩子就被抱走了。沈阳出现两起了。请告诉周围妈妈们注意！如果愿意，把这条信息发给你知道的群。现在丢一个孩子会要了一个家庭的命,请为了儿童转发！功德无量！举手之劳可能就会挽救一个家庭，这个必须转!必须转",1
81,扩散！四川卫视刚播过，一位叫徐敬的女孩，21岁，请速回水城县人民医院，妈妈伤的很严重，想见她最后一面，爸爸号码：15193383486，爱心接力，好人有好报。,1
82,如何看待5月18日邵东县人民医院王俊医生被患者击打后脑勺致死？-回答作者：匿名用户http://t.cn/Rqs67LW（想看更多？下载知乎App：,0
83,同事捡到粗心小朋友的高考准考证，谁认识通知下，别耽误了高考大事。白娅倩考点兰州市一中考场013座号11准考证号204101311／@留几手别耽误了孩子高考！联系电话138-3046-8131求转发@甘肃苏浙汇馆餐饮有限公司@兰州圈子蔺兴旺@xuexue雯我在:2中山路,1
84,@Bbox小贤:这次天津爆炸事件，截止当天下午，普通群众死亡482人，重症监护室52人没有脱离生命危险，消防大队死亡11人，中队死亡400多，两次爆炸全部阵亡，总计死亡人数1300多人，爆炸面积约方圆一公里，最近的一个居民小区全部被灭，无一生还！而官方说只死亡12名消防官兵！,1
85,CCTV今天播出交通新规：1闯红灯记6分罚100元。2酒驾记12分5年内不得再考取驾照。3不系安全带记3分罚100元。4副驾不系安全带记1分罚50元。5行驶中拨打手机记3分罚100元。6行驶中抽烟记1分罚100元。7有意遮挡号牌记12分，顶额处罚。8超速驾驶记6分。9副驾驶有不满14周岁乘坐的记6分罚300元。,1
